Model,q=0.5 Cost,q=0.5 Gap (%),q=0.6 Cost,q=0.6 Gap (%),q=0.7 Cost,q=0.7 Gap (%),q=0.8 Cost,q=0.8 Gap (%),q=0.9 Cost,q=0.9 Gap (%),q=0.95 Cost,q=0.95 Gap (%)
SQR,5.455 (± 0.045),2.64%,6.634 (± 0.056),1.76%,8.161 (± 0.100),2.54%,10.525 (± 0.130),5.76%,14.805 (± 0.300),11.97%,18.701 (± 0.281),10.80%
RSQR,5.427 (± 0.047),2.13%,6.581 (± 0.057),0.96%,$\mathbf{8.044 (± 0.091)}$,$\mathbf{1.07%}$,10.441 (± 0.160),4.90%,15.044 (± 0.653),13.78%,18.707 (± 0.405),10.83%
MQR,5.442 (± 0.048),2.41%,6.634 (± 0.062),1.76%,8.120 (± 0.079),2.02%,10.200 (± 0.094),2.48%,13.696 (± 0.147),3.58%,17.475 (± 0.218),3.54%
RMQR,$\mathbf{5.334 (± 0.040)}$,$\mathbf{0.37%}$,$\mathbf{6.538 (± 0.054)}$,$\mathbf{0.30%}$,$\mathbf{8.010 (± 0.083)}$,$\mathbf{0.64%}$,$\mathbf{10.067 (± 0.114)}$,$\mathbf{1.15%}$,13.532 (± 0.183),2.34%,17.256 (± 0.272),2.24%
PMQR,5.429 (± 0.051),2.17%,6.649 (± 0.073),2.00%,8.139 (± 0.104),2.27%,10.203 (± 0.119),2.52%,13.779 (± 0.203),4.21%,17.657 (± 0.339),4.61%
RPMQR,$\mathbf{\underline{5.314 (± 0.046)}}$,$\mathbf{\underline{0.00%}}$,$\mathbf{\underline{6.519 (± 0.071)}}$,$\mathbf{\underline{0.00%}}$,$\mathbf{7.967 (± 0.088)}$,$\mathbf{0.11%}$,$\mathbf{9.982 (± 0.125)}$,$\mathbf{0.30%}$,$\mathbf{13.425 (± 0.196)}$,$\mathbf{1.54%}$,$\mathbf{17.089 (± 0.260)}$,$\mathbf{1.24%}$
Mono,5.983 (± 0.110),12.58%,6.810 (± 0.097),4.47%,8.110 (± 0.099),1.89%,10.168 (± 0.108),2.17%,13.706 (± 0.196),3.66%,17.519 (± 0.254),3.80%
RMono,5.809 (± 0.082),9.31%,6.620 (± 0.067),1.55%,$\mathbf{\underline{7.959 (± 0.070)}}$,$\mathbf{\underline{0.00%}}$,$\mathbf{9.975 (± 0.090)}$,$\mathbf{0.23%}$,13.447 (± 0.133),1.70%,17.264 (± 0.194),2.28%
NCMQR,5.626 (± 0.112),5.86%,6.760 (± 0.112),3.71%,8.232 (± 0.121),3.43%,10.199 (± 0.136),2.48%,13.547 (± 0.163),2.46%,17.312 (± 0.203),2.57%
RNCMQR,5.444 (± 0.076),2.45%,6.585 (± 0.075),1.02%,$\mathbf{8.031 (± 0.079)}$,$\mathbf{0.90%}$,$\mathbf{\underline{9.952 (± 0.087)}}$,$\mathbf{\underline{0.00%}}$,$\mathbf{\underline{13.222 (± 0.121)}}$,$\mathbf{\underline{0.00%}}$,$\mathbf{\underline{16.879 (± 0.134)}}$,$\mathbf{\underline{0.00%}}$
Rearrangement,5.434 (± 0.047),2.26%,6.633 (± 0.062),1.75%,8.120 (± 0.079),2.03%,10.198 (± 0.094),2.47%,13.688 (± 0.146),3.52%,17.476 (± 0.218),3.54%
Isotonic,5.438 (± 0.048),2.33%,6.633 (± 0.062),1.75%,8.120 (± 0.079),2.02%,10.199 (± 0.094),2.47%,13.691 (± 0.147),3.55%,17.476 (± 0.218),3.54%
