date,weekday,month,year,is_schoolholiday,is_holiday,is_holiday_next2days,store,product,rain,temperature,promotion_currentweek,promotion_lastweek
2016-01-02,FRI,JAN,2016,1,0,0,2,101,11.9,2.1,0,0
2016-01-03,SAT,JAN,2016,1,0,0,2,101,4.1,2.6,0,0
2016-01-04,SUN,JAN,2016,1,0,1,2,101,7.9,3.2,0,0
2016-01-05,MON,JAN,2016,1,0,1,2,101,3.5,3.1,0,0
2016-01-06,TUE,JAN,2016,1,1,0,2,101,0.1,4.1,0,0
2016-01-07,WED,JAN,2016,1,0,0,2,101,2.2,4.5,0,0
2016-01-08,THU,JAN,2016,1,0,0,2,101,0.0,3.8,0,0
2016-01-09,FRI,JAN,2016,1,0,0,2,101,0.0,0.7,0,0
2016-01-10,SAT,JAN,2016,0,0,0,2,101,3.2,4.7,0,0
2016-01-11,SUN,JAN,2016,0,0,0,2,101,10.9,4.7,0,0
2016-01-12,MON,JAN,2016,0,0,0,2,101,10.6,4.6,0,0
2016-01-13,TUE,JAN,2016,0,0,0,2,101,3.8,3.6,0,0
2016-01-14,WED,JAN,2016,0,0,0,2,101,1.0,2.4,0,0
2016-01-15,THU,JAN,2016,0,0,0,2,101,2.5,1.0,0,0
2016-01-16,FRI,JAN,2016,0,0,0,2,101,1.9,0.4,0,0
2016-01-17,SAT,JAN,2016,0,0,0,2,101,3.1,-2.0,0,0
2016-01-18,SUN,JAN,2016,0,0,0,2,101,0.0,-8.4,0,0
2016-01-19,MON,JAN,2016,0,0,0,2,101,0.0,-6.8,0,0
2016-01-20,TUE,JAN,2016,0,0,0,2,101,0.0,-4.9,0,0
2016-01-21,WED,JAN,2016,0,0,0,2,101,0.0,-2.4,0,0
2016-01-22,THU,JAN,2016,0,0,0,2,101,2.6,-7.7,0,0
2016-01-23,FRI,JAN,2016,0,0,0,2,101,0.1,1.5,0,0
2016-01-24,SAT,JAN,2016,0,0,0,2,101,3.6,3.5,0,0
2016-01-25,SUN,JAN,2016,0,0,0,2,101,0.0,5.7,0,0
2016-01-26,MON,JAN,2016,0,0,0,2,101,0.0,7.6,0,0
2016-01-27,TUE,JAN,2016,0,0,0,2,101,0.0,10.5,0,0
2016-01-28,WED,JAN,2016,0,0,0,2,101,0.8,9.0,0,0
2016-01-29,THU,JAN,2016,0,0,0,2,101,0.0,6.3,0,0
2016-01-30,FRI,JAN,2016,0,0,0,2,101,9.4,6.7,0,0
2016-01-31,SAT,JAN,2016,0,0,0,2,101,5.6,5.0,0,0
2016-02-01,SUN,FEB,2016,0,0,0,2,101,0.1,11.2,0,0
2016-02-02,MON,FEB,2016,0,0,0,2,101,2.8,9.9,0,0
2016-02-03,TUE,FEB,2016,0,0,0,2,101,5.9,3.7,0,0
2016-02-04,WED,FEB,2016,0,0,0,2,101,9.0,2.8,0,0
2016-02-05,THU,FEB,2016,0,0,0,2,101,0.0,4.1,0,0
2016-02-06,FRI,FEB,2016,0,0,0,2,101,0.0,3.9,0,0
2016-02-07,SAT,FEB,2016,0,0,0,2,101,0.0,4.0,0,0
2016-02-08,SUN,FEB,2016,1,0,0,2,101,8.9,7.4,0,0
2016-02-09,MON,FEB,2016,1,0,0,2,101,12.2,7.3,0,0
2016-02-10,TUE,FEB,2016,1,0,0,2,101,3.9,2.8,0,0
2016-02-11,WED,FEB,2016,1,0,0,2,101,0.5,2.9,0,0
2016-02-12,THU,FEB,2016,1,0,0,2,101,0.0,2.3,0,0
2016-02-13,FRI,FEB,2016,0,0,0,2,101,11.7,2.2,0,0
2016-02-14,SAT,FEB,2016,0,0,0,2,101,2.4,6.3,0,0
2016-02-15,SUN,FEB,2016,0,0,0,2,101,0.0,3.9,0,0
2016-02-16,MON,FEB,2016,0,0,0,2,101,0.0,1.2,0,0
2016-02-17,TUE,FEB,2016,0,0,0,2,101,0.0,0.7,0,0
2016-02-18,WED,FEB,2016,0,0,0,2,101,0.1,2.9,0,0
2016-02-19,THU,FEB,2016,0,0,0,2,101,1.1,1.0,0,0
2016-02-20,FRI,FEB,2016,0,0,0,2,101,8.7,3.5,0,0
2016-02-21,SAT,FEB,2016,0,0,0,2,101,1.9,10.4,0,0
2016-02-22,SUN,FEB,2016,0,0,0,2,101,9.3,10.3,0,0
2016-02-23,MON,FEB,2016,0,0,0,2,101,7.5,2.4,0,0
2016-02-24,TUE,FEB,2016,0,0,0,2,101,0.0,2.3,0,0
2016-02-25,WED,FEB,2016,0,0,0,2,101,0.0,1.3,0,0
